#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
435,Andy Ibanez,628451,628451,18819,10979,DET,2B/3B/ OF,1B/2B/ 3B/OF
436,Andy Lugo,702889,702889,sa3018400,,BOS,OF,OF
437,Andy Pages,681624,681624,sa3005625,11682,LAD,OF,OF
438,Andy Perez,700321,700321,sa3015857,,COL,SS,SS
439,Andy Rodriguez,701259,701259,sa3020863,,TB,RP,RP
440,Andy Sosa,694030,694030,sa3015689,,FA,OF,OF
441,Andy Sugilio,650443,650443,sa828414,,FA,3b,3b
442,Andy Thomas,673990,673990,sa3016953,,SF,C,C
443,Andy Weber,681581,681581,sa3008282,,CHC,SS,SS
444,Aneudis Mordan,698937,698937,sa3015741,,BAL,C,C
445,Aneurys Zabala,656008,656008,20802,11491,DET,RP,RP
446,Anfernny Reyes,703102,703102,sa3018807,,MIL,SP,SP
447,Angel Acosta,808665,808665,sa3021290,,KC,3B,3B
448,Angel Alfonseca,695227,695227,sa3015308,,NYM,RP,RP
449,Angel Anazco,807816,807816,sa3021494,,TEX,RP,RP
450,Angel Aponte,672749,672749,sa3003319,,TEX,OF,OF
451,Angel Aquino,808673,808673,sa3021291,,PIT,OF,OF
452,Angel Basabe,678781,678781,sa3006432,,FA,OF,OF
453,Angel Bastardo,682785,682785,sa3009716,,BOS,SP,SP
454,Angel Bautista,682959,682959,sa3010864,,FA,2B,2B
455,Angel Cepeda,806980,806980,sa3021080,,CHC,SS,SS
456,Angel Cruz,682881,682881,sa3008831,,DET,2B,2B
457,Angel De Jesus,669804,669804,22323,11343,DET,RP,RP
458,Angel Del Rosario,692489,692489,sa3015195,,TOR,SS,SS
459,Angel Diaz,801225,801225,sa3019214,,LAD,C,C
460,Angel Felipe,665734,665734,21163,11772,OAK,RP,RP
461,Angel Feliz,805467,805467,sa3019528,,COL,OF,OF
462,Angel Galarraga,687679,687679,sa3011810,,TB,C,C
463,Angel Genao,694197,694197,sa3015706,,CLE,SS,SS
464,Angel Guzman,808401,808401,sa3021268,,SF,OF,OF
465,Angel Hernandez,696095,696095,sa3015363,,CHC,RP,RP
466,Angel Herrera,808679,808679,sa3021292,,TEX,OF,OF
467,Angel Lopez,676698,676698,sa3004167,,FA,C,C
468,Angel Martinez,682657,682657,sa3008762,,CLE,SS,SS
